kind,var,year,filename,path,ok,error,dtype,height,width,crs,nodata,min_val,max_val,nan_count,inf_count,eq_nodata_count,eq_minus9999_count,total_pixels,suspect_pixels,suspect_pct
data,ndvi16,2024,ndvi16_2024_20240508.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2024/ndvi16_2024_20240508.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9172741770744324,0,0,264629,264629,424080,529258,124.80145255612149
data,ndvi16,2024,ndvi16_2024_20240524.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2024/ndvi16_2024_20240524.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9476507902145386,0,0,261191,261191,424080,522382,123.18006036596869
data,ndvi16,2025,ndvi16_2025_20250101.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2025/ndvi16_2025_20250101.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9342851042747498,0,0,267543,267543,424080,535086,126.17572156196944
data,ndvi16,2025,ndvi16_2025_20250117.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2025/ndvi16_2025_20250117.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9579789042472839,0,0,266723,266723,424080,533446,125.78900207508018
data,ndvi16,2025,ndvi16_2025_20250202.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2025/ndvi16_2025_20250202.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.913932740688324,0,0,265434,265434,424080,530868,125.18109790605546
data,ndvi16,2025,ndvi16_2025_20250218.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2025/ndvi16_2025_20250218.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8892263770103455,0,0,272766,272766,424080,545532,128.6389360498019
data,ndvi16,2025,ndvi16_2025_20250306.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2025/ndvi16_2025_20250306.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8869987726211548,0,0,277356,277356,424080,554712,130.8036219581211
data,ndvi16,2025,ndvi16_2025_20250322.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2025/ndvi16_2025_20250322.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8950992226600647,0,0,272026,272026,424080,544052,128.28994529334088
data,ndvi16,2025,ndvi16_2025_20250407.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2025/ndvi16_2025_20250407.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9178816676139832,0,0,269858,269858,424080,539716,127.26749669873608
data,ndvi16,2025,ndvi16_2025_20250423.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2025/ndvi16_2025_20250423.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8900364637374878,0,0,266581,266581,424080,533162,125.72203357857008
data,ndvi16,2025,ndvi16_2025_20250509.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2025/ndvi16_2025_20250509.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9350951313972473,0,0,264609,264609,424080,529218,124.79202037351443
data,ndvi16,2025,ndvi16_2025_20250525.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2025/ndvi16_2025_20250525.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9572701454162598,0,0,264773,264773,424080,529546,124.86936427089229
data,precip16,2018,precip16_2018_20180101.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/precip16/2018/precip16_2018_20180101.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.7426543831825256,0,0,256016,256016,424080,512032,120.73948311639313
data,precip16,2018,precip16_2018_20180117.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/precip16/2018/precip16_2018_20180117.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8501883745193481,0,0,256016,256016,424080,512032,120.73948311639313
data,precip16,2018,precip16_2018_20180202.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/precip16/2018/precip16_2018_20180202.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9649960398674011,0,0,256016,256016,424080,512032,120.73948311639313
data,precip16,2018,precip16_2018_20180218.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/precip16/2018/precip16_2018_20180218.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9191630482673645,0,0,256016,256016,424080,512032,120.73948311639313
data,precip16,2018,precip16_2018_20180306.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/precip16/2018/precip16_2018_20180306.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.94572514295578,0,0,256016,256016,424080,512032,120.73948311639313
data,precip16,2018,precip16_2018_20180322.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/precip16/2018/precip16_2018_20180322.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8517556190490723,0,0,256016,256016,424080,512032,120.73948311639313
data,precip16,2018,precip16_2018_20180407.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/precip16/2018/precip16_2018_20180407.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9302120804786682,0,0,256016,256016,424080,512032,120.73948311639313
data,precip16,2018,precip16_2018_20180423.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/precip16/2018/precip16_2018_20180423.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8868540525436401,0,0,256016,256016,424080,512032,120.73948311639313
data,precip16,2018,precip16_2018_20180509.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/precip16/2018/precip16_2018_20180509.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9575446248054504,0,0,256016,256016,424080,512032,120.73948311639313
data,precip16,2018,precip16_2018_20180525.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/precip16/2018/precip16_2018_20180525.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8668089509010315,0,0,256016,256016,424080,512032,120.73948311639313
data,precip16,2019,precip16_2019_20190101.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/precip16/2019/precip16_2019_20190101.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8099128007888794,0,0,256016,256016,424080,512032,120.73948311639313
data,precip16,2019,precip16_2019_20190117.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/precip16/2019/precip16_2019_20190117.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8660323619842529,0,0,256016,256016,424080,512032,120.73948311639313
data,precip16,2019,precip16_2019_20190202.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/precip16/2019/precip16_2019_20190202.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9295536875724792,0,0,256016,256016,424080,512032,120.73948311639313
