latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
26.7811,87.2971,313.5,2,1.4,2018-03-09,0703,Aqua,MODIS,54,6.03,300.5,17.4,D,0
27.8142,85.0074,302.6,1,1,2018-03-09,1628,Terra,MODIS,50,6.03,289.8,6.3,N,0
27.0692,87.1275,300.7,1,1,2018-03-09,1628,Terra,MODIS,28,6.03,288.8,4.9,N,0
27.0706,87.1377,304.4,1,1,2018-03-09,1628,Terra,MODIS,60,6.03,289.6,7.1,N,0
29.1862,81.6523,306.3,1.4,1.2,2018-03-09,1629,Terra,MODIS,67,6.03,282,16.5,N,0
29.1835,81.6363,303.6,1.4,1.2,2018-03-09,1629,Terra,MODIS,56,6.03,283.6,13,N,0
26.9267,87.3108,314.4,1.8,1.3,2018-03-10,0435,Terra,MODIS,32,6.03,298.8,13.9,D,0
26.934,87.3198,314.3,1.8,1.3,2018-03-10,0435,Terra,MODIS,52,6.03,299.8,14.3,D,0
26.9356,87.3039,315.9,1.8,1.3,2018-03-10,0435,Terra,MODIS,65,6.03,299.9,17.5,D,0
27.0062,85.9485,316.3,1.2,1.1,2018-03-10,0746,Aqua,MODIS,51,6.03,302.4,7.2,D,0
26.9903,86.0598,316.7,1.2,1.1,2018-03-10,0746,Aqua,MODIS,62,6.03,304.3,8,D,0
26.9917,86.0716,323.3,1.2,1.1,2018-03-10,0746,Aqua,MODIS,74,6.03,304,15.9,D,0
26.9662,85.9432,318.5,1.2,1.1,2018-03-10,0746,Aqua,MODIS,37,6.03,305.8,7.1,D,0
27.1121,85.1136,324.2,1.1,1,2018-03-10,0746,Aqua,MODIS,75,6.03,301.8,15.7,D,0
26.9312,87.2946,324.6,1.4,1.2,2018-03-10,0746,Aqua,MODIS,77,6.03,303.2,22,D,0
26.9327,87.3084,329.7,1.4,1.2,2018-03-10,0746,Aqua,MODIS,82,6.03,303.9,32.6,D,0
26.7868,87.2585,330.1,1.4,1.2,2018-03-10,0746,Aqua,MODIS,82,6.03,300.5,34.3,D,0
26.6799,86.6951,316.3,1.3,1.1,2018-03-10,0746,Aqua,MODIS,61,6.03,302.2,10.6,D,0
