latitude,longitude,acq_date,confidence
28.5377,80.6111,2025-04-01,79
28.3553,81.5099,2025-04-01,70
28.5009,80.6863,2025-04-01,73
28.5392,80.6211,2025-04-01,77
28.3619,80.4323,2025-04-01,75
28.394,81.6557,2025-04-01,61
28.2331,80.495,2025-04-01,57
28.7053,82.7161,2025-04-01,69
28.6625,82.9456,2025-04-01,93
28.6611,82.9346,2025-04-01,90
28.4799,82.0104,2025-04-01,72
28.3804,80.7967,2025-04-01,87
28.4008,80.8742,2025-04-01,76
27.1356,87.6688,2025-04-01,63
28.3994,80.8643,2025-04-01,66
28.4023,80.823,2025-04-01,58
28.2922,80.2711,2025-04-01,82
28.529,80.528,2025-04-02,81
27.6261,83.9908,2025-04-02,88
28.4343,81.3746,2025-04-02,50
27.9268,82.3831,2025-04-02,68
28.5305,80.5411,2025-04-02,71
28.7177,81.3228,2025-04-02,72
28.8022,80.2621,2025-04-02,58
28.8046,80.2926,2025-04-02,64
28.8,80.2701,2025-04-02,64
27.9381,80.3829,2025-04-02,76
27.9406,80.413,2025-04-02,90
27.0728,87.5295,2025-04-02,67
27.627,83.9833,2025-04-02,77
26.9121,86.2994,2025-04-03,77
27.1004,87.6183,2025-04-03,84
27.1018,87.6284,2025-04-03,100
27.1031,87.6383,2025-04-03,79
27.0915,87.6198,2025-04-03,85
27.0929,87.6295,2025-04-03,100
27.0942,87.6393,2025-04-03,95
27.0549,87.4206,2025-04-03,75
27.0683,87.5829,2025-04-03,78
27.0696,87.5925,2025-04-03,86
26.7565,86.621,2025-04-03,73
27.0393,87.5116,2025-04-03,80
28.5109,82.0648,2025-04-03,52
28.0764,80.3107,2025-04-03,63
28.0797,80.3284,2025-04-03,82
28.1664,81.1538,2025-04-03,65
28.6099,83.6512,2025-04-03,85
28.001,81.806,2025-04-03,74
27.9543,81.846,2025-04-03,53
28.3894,84.4609,2025-04-03,67
27.9985,82.2683,2025-04-03,62
27.1039,87.8442,2025-04-03,73
26.9309,86.3662,2025-04-03,54
26.9398,86.244,2025-04-03,86
26.9282,86.2261,2025-04-03,60
27.8579,81.8305,2025-04-03,53
26.9729,87.36,2025-04-03,86
26.9882,87.4694,2025-04-03,52
26.8079,86.4814,2025-04-03,70
26.797,86.9643,2025-04-03,71
26.7406,86.6496,2025-04-03,56
26.7245,86.6626,2025-04-03,74
26.7158,86.6642,2025-04-03,64
26.7229,86.7129,2025-04-03,67
26.7575,87.2693,2025-04-03,57
26.9597,86.5012,2025-04-03,72
26.7851,87.6781,2025-04-03,72
26.6448,86.7538,2025-04-03,53
26.9551,86.0838,2025-04-03,69
26.9755,86.2208,2025-04-03,76
26.9769,86.2306,2025-04-03,67
26.8681,86.5639,2025-04-03,90
26.9428,86.1429,2025-04-03,70
26.9443,86.1526,2025-04-03,69
26.9573,86.2407,2025-04-03,64
26.9486,86.2424,2025-04-03,56
27.0707,87.0836,2025-04-03,52
26.8536,86.5265,2025-04-03,61
27.8476,81.8329,2025-04-03,71
28.8395,80.2867,2025-04-03,94
28.7676,82.2307,2025-04-03,85
27.3028,84.862,2025-04-03,73
27.2995,84.9584,2025-04-03,54
27.2905,84.9601,2025-04-03,52
29.1402,81.1393,2025-04-03,72
28.8428,80.3038,2025-04-03,98
28.9069,80.2698,2025-04-03,95
28.9036,80.2525,2025-04-03,79
28.6934,81.3651,2025-04-03,52
28.7061,81.3149,2025-04-03,60
28.6153,80.5723,2025-04-03,63
27.403,85.3189,2025-04-03,54
28.8226,80.314,2025-04-03,80
28.8338,80.3111,2025-04-03,88
28.8306,80.294,2025-04-03,100
28.845,80.3084,2025-04-03,87
28.8418,80.2911,2025-04-03,99
28.8316,80.3066,2025-04-03,94
28.8283,80.2895,2025-04-03,90
27.0547,87.6079,2025-04-03,91
26.8759,86.5298,2025-04-03,57
27.0355,87.6149,2025-04-03,96
26.7804,87.6932,2025-04-03,52
28.8193,80.2968,2025-04-03,89
27.3889,85.228,2025-04-03,68
27.3873,85.2178,2025-04-03,59
27.3295,84.8501,2025-04-03,88
28.3744,80.3485,2025-04-03,59
28.3312,80.4316,2025-04-03,63
28.5918,82.112,2025-04-03,64
27.6979,82.496,2025-04-03,74
27.5671,82.2253,2025-04-03,69
27.8248,86.097,2025-04-03,68
27.5416,85.0192,2025-04-03,78
